=================================================
BRAZILIAN SOUTHERN EQUIVALENT SYSTEM - 2017-2025
=================================================
---------------------
BUS DATA 
---------------------
BUS NO.: Bus number
NG: Number of generating units
PGMAX: Maximum generation capacity [MW]
PGMIN: Minimum generation capacity [MW]
PGDESP: Generation dispatch [MW]
LOAD: Load [MW]
TP: Bus type
COST: Production cost [$/MWH]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
BUS   NG PGMAX   PGMIN   PGDESP    LOAD   TP COST  FAILR    MTTR
NO.      MW      MW      MW        MW        $/MWH OCC./Y   H 
x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
07711 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07712 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07713 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07719 01 1071.40  876.60  974.0000 000.00 02 07.00 06.00000 040.00000 1
07722 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07723 00  000.00  000.00  000.0000 148.00 01 00.00 00.00000 000.00000 1
07724 01  024.20  019.80  022.0000 000.00 02 47.00 06.00000 040.00000 1
07725 00  000.00  000.00  000.0000 147.00 01 00.00 00.00000 000.00000 1
07731 00  000.00  000.00  000.0000 374.00 01 00.00 00.00000 000.00000 1
07732 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07733 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07734 00  000.00  000.00  000.0000 295.00 01 00.00 00.00000 000.00000 1
07736 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07739 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07740 00  000.00  000.00  000.0000 369.00 01 00.00 00.00000 000.00000 1
07741 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07743 00  000.00  000.00  000.0000 314.00 01 00.00 00.00000 000.00000 1
07744 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07745 00  000.00  000.00  000.0000 135.00 01 00.00 00.00000 000.00000 1
07747 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07748 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07749 01  018.70  015.30  017.0000 000.00 02 51.00 06.00000 040.00000 1
07750 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07751 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07752 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07753 01  187.00  153.00  170.0000 000.00 02 26.00 06.00000 040.00000 1
07755 00  000.00  000.00  000.0000 301.00 01 00.00 00.00000 000.00000 1
07757 01  094.60  077.40  086.0000 000.00 02 39.00 06.00000 040.00000 1
07758 00  000.00  000.00  000.0000 063.00 01 00.00 00.00000 000.00000 1
07759 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07760 00  000.00  000.00  000.0000 038.00 01 00.00 00.00000 000.00000 1
07762 01 1445.40 1182.60 1314.0000 000.00 02 02.00 06.00000 040.00000 1
07763 00  000.00  000.00  000.0000 082.50 01 00.00 00.00000 000.00000 1
07765 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07766 01 1315.60 1076.40 1196.0000 000.00 02 04.00 06.00000 040.00000 1
07770 00  000.00  000.00  000.0000 257.00 01 00.00 00.00000 000.00000 1
07771 00  000.00  000.00  000.0000 049.00 01 00.00 00.00000 000.00000 1
07776 00  000.00  000.00  000.0000 110.00 01 00.00 00.00000 000.00000 1
07778 00  000.00  000.00  000.0000 251.00 01 00.00 00.00000 000.00000 1
07779 00  000.00  000.00  000.0000 188.00 01 00.00 00.00000 000.00000 1
07780 00  000.00  000.00  000.0000 093.00 01 00.00 00.00000 000.00000 1
07781 01  033.00  027.00  030.0000 000.00 02 44.00 06.00000 040.00000 1
07782 00  000.00  000.00  000.0000 079.00 01 00.00 00.00000 000.00000 1
07785 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07790 00  000.00  000.00  000.0000 149.00 01 00.00 00.00000 000.00000 1
07794 00  000.00  000.00  000.0000 383.00 01 00.00 00.00000 000.00000 1
07800 00  000.00  000.00  000.0000 015.00 01 00.00 00.00000 000.00000 1
07802 01  258.50  211.50  235.0000 000.00 02 18.00 06.00000 040.00000 1
07808 00  000.00  000.00  000.0000 330.00 01 00.00 00.00000 000.00000 1
07812 01  189.20  154.80  172.0000 000.00 02 25.00 06.00000 040.00000 1
07820 01 1012.00  828.00  920.0000 000.00 02 08.00 06.00000 040.00000 1
07823 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07824 00  000.00  000.00  000.0000 230.00 01 00.00 00.00000 000.00000 1
07826 00  000.00  000.00  000.0000 288.00 01 00.00 00.00000 000.00000 1
07830 00  000.00  000.00  000.0000 164.00 01 00.00 00.00000 000.00000 1
07850 01  143.00  117.00  130.0000 000.00 02 30.00 06.00000 040.00000 1
07900 00  000.00  000.00  000.0000 193.00 01 00.00 00.00000 000.00000 1
07903 00  000.00  000.00  000.0000 188.00 01 00.00 00.00000 000.00000 1
07904 00  000.00  000.00  000.0000 046.00 01 00.00 00.00000 000.00000 1
07921 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07922 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07923 00  000.00  000.00  000.0000 147.00 01 00.00 00.00000 000.00000 1
07924 00  000.00  000.00  000.0000 084.00 01 00.00 00.00000 000.00000 1
07926 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07927 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07928 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07929 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
07980 00  000.00  000.00  000.0000 177.00 01 00.00 00.00000 000.00000 1
07982 00  000.00  000.00  000.0000 121.00 01 00.00 00.00000 000.00000 1
07990 00  000.00  000.00  000.0000 130.00 01 00.00 00.00000 000.00000 1
08135 00  000.00  000.00  000.0000 052.00 01 00.00 00.00000 000.00000 1
08321 00  000.00  000.00  000.0000 038.00 01 00.00 00.00000 000.00000 1
08333 00  000.00  000.00  000.0000 021.00 01 00.00 00.00000 000.00000 1
08720 01  022.00  018.00  020.0000 000.00 02 49.00 06.00000 040.00000 1
08721 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
08731 01  163.90  134.10  149.0000 000.00 02 27.00 06.00000 040.00000 1
08736 01  133.10  108.90  121.0000 000.00 02 31.00 06.00000 040.00000 1
08741 01  675.40  552.60  614.0000 000.00 02 11.00 06.00000 040.00000 1
08771 01  100.10  081.90  091.0000 000.00 02 37.00 06.00000 040.00000 1
08772 01  677.60  554.40  616.0000 000.00 02 10.00 06.00000 040.00000 1
08780 01  102.30  083.70  093.0000 000.00 02 36.00 06.00000 040.00000 1
08952 01 1342.00 1098.00 1220.0000 000.00 02 03.00 06.00000 040.00000 1
09002 00  000.00  000.00  000.0000 100.00 01 00.00 00.00000 000.00000 1
09010 00  000.00  000.00  000.0000 090.00 01 00.00 00.00000 000.00000 1
09015 00  000.00  000.00  000.0000 140.00 01 00.00 00.00000 000.00000 1
09020 00  000.00  000.00  000.0000 241.00 01 00.00 00.00000 000.00000 1
09030 00  000.00  000.00  000.0000 063.00 01 00.00 00.00000 000.00000 1
09040 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
09045 00  000.00  000.00  000.0000 053.00 01 00.00 00.00000 000.00000 1
09050 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
09051 00  000.00  000.00  000.0000 142.00 01 00.00 00.00000 000.00000 1
09060 00  000.00  000.00  000.0000 000.00 01 00.00 00.00000 000.00000 1
09062 00  000.00  000.00  000.0000 046.00 01 00.00 00.00000 000.00000 1
09065 00  000.00  000.00  000.0000 164.00 01 00.00 00.00000 000.00000 1
09066 00  000.00  000.00  000.0000 118.00 01 00.00 00.00000 000.00000 1
09090 01  117.70  096.30  107.0000 000.00 02 35.00 06.00000 040.00000 1
09095 00  000.00  000.00  000.0000 021.00 01 00.00 00.00000 000.00000 1
09097 00  000.00  000.00  000.0000 039.00 01 00.00 00.00000 000.00000 1
09098 01  216.70  177.30  197.0000 000.00 02 22.00 06.00000 040.00000 1
09100 01  027.90  022.86  025.4000 000.00 02 46.00 06.00000 040.00000 1
09110 00  000.00  000.00  000.0000 207.00 01 00.00 00.00000 000.00000 1
09120 00  000.00  000.00  000.0000 083.00 01 00.00 00.00000 000.00000 1
09130 00  000.00  000.00  000.0000 132.00 01 00.00 00.00000 000.00000 1
09140 01  464.20  379.80  422.0000 000.00 02 15.00 06.00000 040.00000 1
09165 00  000.00  000.00  000.0000 125.00 01 00.00 00.00000 000.00000 1
09170 00  000.00  000.00  000.0000 030.00 01 00.00 00.00000 000.00000 1
09180 00  000.00  000.00  000.0000 101.00 01 00.00 00.00000 000.00000 1
09184 00  000.00  000.00  000.0000 140.00 01 00.00 00.00000 000.00000 1
09188 01  029.70  024.30  027.0000 000.00 02 45.00 06.00000 040.00000 1
09192 01  023.10  018.90  021.0000 000.00 02 48.00 06.00000 040.00000 1
09195 01  020.90  017.10  019.0000 000.00 02 50.00 06.00000 040.00000 1
09204 00  000.00  000.00  000.0000 124.00 01 00.00 00.00000 000.00000 1
09206 00  000.00  000.00  000.0000 131.00 01 00.00 00.00000 000.00000 1
09208 00  000.00  000.00  000.0000 351.20 01 00.00 00.00000 000.00000 1
09209 00  000.00  000.00  000.0000 149.00 01 00.00 00.00000 000.00000 1
09210 00  000.00  000.00  000.0000 143.00 01 00.00 00.00000 000.00000 1
09213 00  000.00  000.00  000.0000 075.00 01 00.00 00.00000 000.00000 1
09230 00  000.00  000.00  000.0000 165.00 01 00.00 00.00000 000.00000 1
09233 01  077.00  063.00  070.0000 000.00 02 40.00 06.00000 040.00000 1
09245 00  000.00  000.00  000.0000 294.00 01 00.00 00.00000 000.00000 1
09250 01  156.20  127.80  142.0000 000.00 02 28.00 06.00000 040.00000 1
09261 00  000.00  000.00  000.0000 133.00 01 00.00 00.00000 000.00000 1
09264 00  000.00  000.00  000.0000 103.00 01 00.00 00.00000 000.00000 1
09265 00  000.00  000.00  000.0000 059.00 01 00.00 00.00000 000.00000 1
09272 00  000.00  000.00  000.0000 098.00 01 00.00 00.00000 000.00000 1
09276 00  000.00  000.00  000.0000 310.00 01 00.00 00.00000 000.00000 1
09280 00  000.00  000.00  000.0000 141.00 01 00.00 00.00000 000.00000 1
09283 00  000.00  000.00  000.0000 082.00 01 00.00 00.00000 000.00000 1
09286 00  000.00  000.00  000.0000 236.00 01 00.00 00.00000 000.00000 1
09290 00  000.00  000.00  000.0000 116.00 01 00.00 00.00000 000.00000 1
09304 00  000.00  000.00  000.0000 107.00 01 00.00 00.00000 000.00000 1
